pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,40.95834944577746,41.941727743017054,41.941727743017054,41.941727743017054,41.941727743017054,41.95844151688516,42.9419185264278,42.9419185264278,c,1,0.6571069651231483,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,2,3,11,3,,,,,43.62524070557265,44.625300778197015,44.625300778197015,44.625300778197015,44.625300778197015,44.625300778197015,45.608927818364464,45.608927818364464,z,1,0.407057835375781,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,3,0,12,0,,,,,46.0422600347697,47.025631087069996,47.025631087069996,47.025631087069996,47.025631087069996,47.042312258709444,48.025729497499924,48.025729497499924,x,1,0.5333878478104452,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,3,1,13,1,,,,,48.57592259023522,49.575953984973694,49.575953984973694,49.575953984973694,49.575953984973694,49.575953984973694,50.5594478993753,50.5594478993753,v,1,0.39952370189939757,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,3,2,14,2,,,,,50.97603253219404,51.95948176946786,51.95948176946786,51.95948176946786,51.95948176946786,51.97612007521457,52.95968975960977,52.95968975960977,c,1,0.5598309718643577,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,3,3,15,3,,,,,53.54299645269657,54.543140747744474,54.543140747744474,54.543140747744474,54.543140747744474,54.543140747744474,55.52663013405845,55.52663013405845,z,1,0.39294590045483346,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,4,0,16,0,,,,,55.94327333013962,56.92674732095702,56.92674732095702,56.92674732095702,56.92674732095702,56.943355741328105,57.926802865494665,57.926802865494665,x,1,0.32801403458415734,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,4,1,17,1,,,,,58.27678869258125,59.260259060929,59.260259060929,59.260259060929,59.260259060929,59.27695713742787,60.260442297527334,60.260442297527334,v,1,0.39433209890512444,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,4,2,18,2,,,,,60.6770691924944,61.660446282244266,61.660446282244266,61.660446282244266,61.660446282244266,61.67711537898458,62.66058333235242,62.66058333235242,c,1,0.3944510366641225,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,4,3,19,3,,,,,63.07733671189044,64.06080225027836,64.06080225027836,64.06080225027836,64.06080225027836,64.07744508411224,65.06078383605654,65.06078383605654,z,1,0.3474679049968472,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,5,0,20,0,,,,,65.42835373538537,66.42852821768156,66.42852821768156,66.42852821768156,66.42852821768156,66.42852821768156,67.41133537218002,67.41133537218002,x,1,0.3481637210743429,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,5,1,21,1,,,,,67.77800659712148,68.77871720495068,68.77871720495068,68.77871720495068,68.77871720495068,68.77871720495068,69.77821971909543,69.77821971909543,v,1,0.41300683643476077,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,5,2,22,2,,,,,70.21160597067546,71.21163887477633,71.21163887477633,71.21163887477633,71.21163887477633,71.21163887477633,72.21161713995753,72.21161713995753,c,1,0.5559473823468579,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,5,3,23,3,,,,,72.79508563669606,73.79514570932042,73.79514570932042,73.79514570932042,73.79514570932042,73.79514570932042,74.77865169862162,74.77865169862162,z,1,0.3406208332962706,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,6,0,24,0,,,,,75.14526013408567,76.13081463006893,76.13081463006893,76.13081463006893,76.13081463006893,76.14696993983989,77.1289496618574,77.1289496618574,x,1,0.5184128594551112,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,6,1,25,1,,,,,77.67889099294007,78.66482373514691,78.66482373514691,78.66482373514691,78.66482373514691,78.68054102794213,79.66258444505411,79.66258444505411,v,1,0.4323801068940156,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,6,2,26,2,,,,,80.11255225035393,81.11256311776333,81.11256311776333,81.11256311776333,81.11256311776333,81.11256311776333,82.1127098277907,82.1127098277907,c,1,0.510509234057281,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,6,3,27,3,,,,,82.64618431669805,83.62949831509877,83.62949831509877,83.62949831509877,83.62949831509877,83.64615201634206,84.62964049703896,84.62964049703896,z,1,0.3942222173209302,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,7,0,28,0,,,,,85.04637666984536,86.02987118799228,86.02987118799228,86.02987118799228,86.02987118799228,86.04643312000007,87.0299294493816,87.0299294493816,x,1,0.4419416159789762,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,7,1,29,1,,,,,87.49649178891741,88.48006992574255,88.48006992574255,88.48006992574255,88.48006992574255,88.49676407789866,89.48007083136008,89.48007083136008,v,1,0.3751390463194184,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,7,2,30,2,,,,,89.88019858379539,90.86366291469358,90.86366291469358,90.86366291469358,90.86366291469358,90.88027375004413,91.86374834460685,91.86374834460685,c,1,0.5509861080586234,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
